,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0,Player Link,Player ID
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,
0,1,Brenden Aaronson,us USA,"MF,FW",Leeds United,21,2000,26.4,1,41,9,22.0,1.56,0.34,0.02,0.11,18.4,2,0,0,3.9,3.9,0.09,-2.9,-2.9,Matches,https://fbref.com/en/players/5bc43860/Brenden-Aaronson,5bc43860
1,2,George Abbott,eng ENG,MF,Tottenham,16,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/56628958/George-Abbott,56628958
2,3,Che Adams,sct SCO,FW,Southampton,26,1996,22.1,5,47,14,29.8,2.12,0.63,0.11,0.36,13.8,0,0,0,6.6,6.6,0.14,-1.6,-1.6,Matches,https://fbref.com/en/players/f2bf1b0f/Che-Adams,f2bf1b0f
3,4,Tyler Adams,us USA,MF,Leeds United,23,1999,24.0,0,4,0,0.0,0.17,0.00,0.00,,27.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,https://fbref.com/en/players/2b09d998/Tyler-Adams,2b09d998
4,5,Tosin Adarabioyo,eng ENG,DF,Fulham,24,1997,23.2,1,16,4,25.0,0.69,0.17,0.06,0.25,21.2,1,0,0,0.7,0.7,0.04,+0.3,+0.3,Matches,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,c81d773d
5,6,Nayef Aguerd,ma MAR,DF,West Ham,26,1996,17.7,2,12,2,16.7,0.68,0.11,0.17,1.00,9.9,0,0,0,2.2,2.2,0.19,-0.2,-0.2,Matches,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,288e1e13
6,7,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,2002,1.0,0,3,0,0.0,2.87,0.00,0.00,,15.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,https://fbref.com/en/players/a6c58494/Naouirou-Ahamada,a6c58494
7,8,Rayan Aït Nouri,dz ALG,DF,Wolves,21,2001,12.0,1,10,5,50.0,0.84,0.42,0.10,0.20,14.1,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,9b398aea
8,9,Kristoffer Ajer,no NOR,DF,Brentford,24,1998,8.5,0,1,0,0.0,0.12,0.00,0.00,,6.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,a8c0acb7
